test_agent_memory.py :: 2 passed in 4.33s
test_openmic.py :: no tests ran in 1.66s
test_orb_snap.py :: no tests ran in 0.05s
test_p1_2026_09_18.py :: no tests ran in 0.56s
test_p1_csrf_human_handle_2026_09_18.py :: no tests ran in 0.85s
test_pet_fusion.py :: no tests ran in 0.65s
test_pet_onboarding.py :: no tests ran in 0.74s
test_pet_ownership.py :: no tests ran in 2.15s
test_pet_presence.py :: no tests ran in 1.36s
test_pets.py :: no tests ran in 0.52s
test_reefdex_nap.py :: no tests ran in 0.75s
test_rewards.py :: no tests ran in 0.58s
test_row.py :: 7 failed, 58 passed in 3.33s
test_row_player.py :: no tests ran in 0.37s
test_self_heal.py :: no tests ran in 0.37s
test_shop.py :: no tests ran in 0.39s
test_shop_idem_retry.py :: no tests ran in 0.05s
test_shop_proxy.py :: no tests ran in 0.36s
test_shorts.py :: no tests ran in 0.38s
test_shorts_seen_rotation.py :: no tests ran in 0.73s
test_shorts_shuffle.py :: no tests ran in 0.38s
test_sidebar.py :: no tests ran in 0.41s
test_signals.py :: no tests ran in 0.44s
test_sso_provider_2026_09_21.py :: no tests ran in 0.42s
test_swarm.py :: no tests ran in 0.48s
test_testerloop_0046_p2s_2026_09_20.py :: no tests ran in 0.53s
test_testerloop_1535_p2s_2026_09_23.py :: no tests ran in 0.40s
test_testerloop_1835_fixes_2026_09_19.py :: 3 failed, 2 passed in 0.54s
test_testerloop_1835_flood_wall_2026_09_20.py :: no tests ran in 0.37s
test_testerloop_1835_p2s_2026_09_23.py :: no tests ran in 0.50s
test_testerloop_2135_p2s_2026_09_23.py :: no tests ran in 0.03s
test_testerloop_bio_truncate_2026_09_22.py :: no tests ran in 0.36s
test_testerloop_comment_edit_truncate_2026_09_21.py :: no tests ran in 0.47s
test_testerloop_episode_comment_redirect_2026_09_22.py :: no tests ran in 0.40s
test_testerloop_error_messages_2026_09_22.py :: no tests ran in 0.38s
test_testerloop_flag_messages_2026_09_19.py :: 2 failed in 0.50s
test_testerloop_json_notype_400_2026_09_23.py :: no tests ran in 0.44s
test_testerloop_logincsrf_2026_09_21.py :: no tests ran in 0.38s
test_testerloop_logout_csrf_2026_09_24.py :: no tests ran in 0.38s
test_testerloop_multipart_bool_2026_09_19.py :: 2 passed in 0.11s
test_testerloop_newline_preserve_2026_09_19.py :: no tests ran in 0.07s
test_testerloop_p2_2026_09_21.py :: no tests ran in 0.07s
test_testerloop_p2_2026_09_21_b.py :: no tests ran in 0.37s
test_testerloop_passport_envelope_2026_09_23.py :: no tests ran in 0.45s
test_testerloop_platformkey_envelope_2026_09_22.py :: no tests ran in 0.54s
test_testerloop_post_body_limit_2026_09_20.py :: no tests ran in 0.37s
test_testerloop_ratelimit_before_validate_2026_09_20.py :: no tests ran in 0.37s
test_testerloop_rawint_exn_2026_09_22.py :: no tests ran in 0.42s
test_testerloop_react_login_budget_burn_2026_09_24.py :: no tests ran in 0.48s
test_testerloop_xff_direct_2026_09_22.py :: no tests ran in 0.44s
test_tidepal_depth.py :: no tests ran in 0.35s
test_tidepal_homepage.py :: no tests ran in 0.36s
test_tidepal_social.py :: no tests ran in 0.36s
test_tidepal_social_routes.py :: no tests ran in 0.39s
test_tidepal_world.py :: no tests ran in 0.43s
test_triage_route.py :: no tests ran in 2.63s
test_trustline_bridge.py :: no tests ran in 0.37s
test_ui_fixes_2026_09_18.py :: no tests ran in 0.40s
test_upload_atomic_2026_09_23.py :: no tests ran in 0.05s
test_upload_audio_mimetype_2026_09_18.py :: no tests ran in 0.57s
test_uploads.py :: no tests ran in 0.42s
test_video.py :: no tests ran in 0.38s
test_video_comments.py :: no tests ran in 0.39s
test_vote_stress.py :: no tests ran in 0.04s
test_workroom.py :: no tests ran in 0.37s
test_workroom_agent_loop.py :: no tests ran in 0.05s
test_workroom_bridge.py :: no tests ran in 0.42s
test_workroom_pilot.py :: no tests ran in 0.43s
test_workroom_private.py :: no tests ran in 0.37s
